date,sales
01-12-1990,1910
01-01-1991,2270
01-02-1991,1800
01-03-1991,2230
01-04-1991,2700
01-05-1991,2120
01-06-1991,2550
01-07-1991,1800
01-08-1991,2170
01-09-1991,1960
01-10-1991,2430
01-11-1991,2720
01-12-1991,2330
01-01-1992,2930
01-02-1992,1850
01-03-1992,1810
01-04-1992,1970
01-05-1992,1950
01-06-1992,2170
01-07-1992,2090
01-08-1992,1880
01-09-1992,1760
01-10-1992,1560
01-11-1992,1960
01-12-1992,2040
01-01-1993,2600
01-02-1993,2280
01-03-1993,1760
01-04-1993,1830
01-05-1993,1730
01-06-1993,2140
01-07-1993,1770
01-08-1993,1600
01-09-1993,2100
01-10-1993,1730
01-11-1993,2190
01-12-1993,2060
01-01-1994,2010
01-02-1994,1860
01-03-1994,1630
01-04-1994,1910
01-05-1994,1930
01-06-1994,2300
01-07-1994,2090
01-08-1994,2130
01-09-1994,2100
01-10-1994,2310
01-11-1994,2020
01-12-1994,2490
01-01-1995,2550
01-02-1995,2520
01-03-1995,1960
01-04-1995,2500
01-05-1995,2410
01-06-1995,2160
01-07-1995,2220
01-08-1995,2860
01-09-1995,3040
01-10-1995,2960
01-11-1995,2310
01-12-1995,3080
01-01-1996,3080
01-02-1996,2790
01-03-1996,2100
01-04-1996,2730
01-05-1996,2450
01-06-1996,2960
01-07-1996,2600
01-08-1996,2920
01-09-1996,2850
01-10-1996,3210
01-11-1996,2540
01-12-1996,2670
01-01-1997,2750
01-02-1997,2740
01-03-1997,2020
01-04-1997,2150
01-05-1997,2760
01-06-1997,2470
01-07-1997,2240
01-08-1997,2820
01-09-1997,2520
01-10-1997,2250
01-11-1997,2840
01-12-1997,2380
01-01-1998,2850
01-02-1998,2580
01-03-1998,2030
01-04-1998,2540
01-05-1998,2290
01-06-1998,1990
01-07-1998,2290
01-08-1998,2840
01-09-1998,2440
01-10-1998,2510
01-11-1998,1990
01-12-1998,2710
01-01-1999,2230
01-02-1999,2550
01-03-1999,2320
01-04-1999,2220
01-05-1999,2530
01-06-1999,2570
01-07-1999,2060
01-08-1999,3060
01-09-1999,2370
01-10-1999,2380
01-11-1999,2470
01-12-1999,2210
01-01-2000,2300
01-02-2000,2850
01-03-2000,2260
01-04-2000,1770
01-05-2000,2030
01-06-2000,2570
01-07-2000,1900
01-08-2000,2560
01-09-2000,2470
01-10-2000,2400
01-11-2000,2540
01-12-2000,1900
01-01-2001,2050
01-02-2001,2730
01-03-2001,1970
01-04-2001,1970
01-05-2001,1970
01-06-2001,1590
01-07-2001,1700
01-08-2001,1970
01-09-2001,1910
01-10-2001,2390
01-11-2001,2060
01-12-2001,2030
01-01-2002,2470
01-02-2002,2030
01-03-2002,2060
01-04-2002,2080
01-05-2002,2310
01-06-2002,2290
01-07-2002,1830
01-08-2002,2060
01-09-2002,2160
01-10-2002,1800
01-11-2002,1630
01-12-2002,1580
01-01-2003,2100
01-02-2003,1930
01-03-2003,1480
01-04-2003,2050
01-05-2003,2130
01-06-2003,1720
01-07-2003,1720
01-08-2003,1640
01-09-2003,1730
01-10-2003,1770
01-11-2003,1590
01-12-2003,1560
01-01-2004,1830
01-02-2004,1960
01-03-2004,1940
01-04-2004,1680
01-05-2004,1250
01-06-2004,1700
01-07-2004,1260
01-08-2004,1340
01-09-2004,1340
01-10-2004,1740
01-11-2004,1810
01-12-2004,1640
01-01-2005,2190
01-02-2005,1730
01-03-2005,1680
01-04-2005,1720
01-05-2005,1970
01-06-2005,1970
01-07-2005,1950
01-08-2005,1980
01-09-2005,1590
01-10-2005,1980
01-11-2005,1990
01-12-2005,1700
01-01-2006,2400
01-02-2006,2200
01-03-2006,2160
01-04-2006,2150
01-05-2006,1900
01-06-2006,2100
01-07-2006,1800
01-08-2006,2620
01-09-2006,2160
01-10-2006,1800
01-11-2006,1640
01-12-2006,1630
01-01-2007,2780
01-02-2007,2230
01-03-2007,2030
01-04-2007,1590
01-05-2007,1770
01-06-2007,1800
01-07-2007,1710
01-08-2007,2220
01-09-2007,2450
01-10-2007,2300
01-11-2007,1850
01-12-2007,1970
01-01-2008,2320
01-02-2008,2380
01-03-2008,1910
01-04-2008,1820
01-05-2008,1970
01-06-2008,1720
01-07-2008,1560
01-08-2008,1960
01-09-2008,2120
01-10-2008,1880
01-11-2008,1860
01-12-2008,1990
01-01-2009,2100
01-02-2009,1600
01-03-2009,1720
01-04-2009,1700
01-05-2009,1790
01-06-2009,1690
01-07-2009,1730
01-08-2009,1910
01-09-2009,1400
01-10-2009,1280
01-11-2009,1240
01-12-2009,1380
01-01-2010,2010
01-02-2010,1810
01-03-2010,1610
01-04-2010,1710
01-05-2010,1320
01-06-2010,1640
01-07-2010,1660
01-08-2010,1930
01-09-2010,1760
01-10-2010,1620
01-11-2010,1710
01-12-2010,1970
01-01-2011,2240
01-02-2011,2040
01-03-2011,1720
01-04-2011,1760
01-05-2011,1730
01-06-2011,1650
01-07-2011,1490
01-08-2011,1900
01-09-2011,1860
01-10-2011,1780
01-11-2011,1950
01-12-2011,1750
01-01-2012,2340
01-02-2012,2730
01-03-2012,2280
01-04-2012,2490
01-05-2012,2830
01-06-2012,2700
01-07-2012,2260
01-08-2012,2430
01-09-2012,2550
01-10-2012,2490
01-11-2012,2650
01-12-2012,3100
01-01-2013,3080
01-02-2013,2980
01-03-2013,3400
01-04-2013,2950
01-05-2013,3560
01-06-2013,3470
01-07-2013,3550
01-08-2013,3720
01-09-2013,3160
01-10-2013,3010
01-11-2013,2920
01-12-2013,2860
01-01-2014,3570
01-02-2014,3500
01-03-2014,3300
01-04-2014,3100
01-05-2014,3160
01-06-2014,3000
01-07-2014,3220
01-08-2014,3290
01-09-2014,3060
01-10-2014,3190
01-11-2014,2340
01-12-2014,2610
01-01-2015,3540
01-02-2015,3620
01-03-2015,3740
01-04-2015,2710
01-05-2015,3100
01-06-2015,3180
01-07-2015,2630
01-08-2015,2490
01-09-2015,2750
01-10-2015,3050
01-11-2015,2610
01-12-2015,3040
01-01-2016,3100
01-02-2016,2940
01-03-2016,2900
01-04-2016,2780
01-05-2016,2890
01-06-2016,3010
01-07-2016,2660
01-08-2016,2650
01-09-2016,2910
01-10-2016,2810
01-11-2016,2800
01-12-2016,2850
01-01-2017,2960
01-02-2017,3090
01-03-2017,2840
01-04-2017,2580
01-05-2017,2740
01-06-2017,2390
01-07-2017,2230
01-08-2017,2460
01-09-2017,2730
01-10-2017,2130
01-11-2017,2170
01-12-2017,1820
01-01-2018,2830
01-02-2018,2900
01-03-2018,2160
01-04-2018,2400
01-05-2018,2020
01-06-2018,1630
01-07-2018,1660
01-08-2018,2210
01-09-2018,1930
01-10-2018,1960
01-11-2018,1590
